,gen,x,y
0,trnM,0,1
1,trnM,1,1
2,trnM,2,1
3,trnM,3,1
4,trnM,4,1
5,trnM,5,1
6,trnM,6,1
7,trnM,7,1
8,trnM,8,1
9,trnM,9,1
10,trnM,10,1
11,trnM,11,1
12,trnM,12,1
13,trnM,13,1
14,trnM,14,1
15,trnM,15,1
16,trnM,16,1
17,trnM,17,1
18,trnM,18,1
19,trnM,19,1
20,trnM,20,1
21,trnM,21,1
22,trnM,22,1
23,trnM,23,1
24,trnM,24,1
25,trnM,25,1
26,trnM,26,1
27,trnM,27,1
28,trnM,28,1
29,trnM,29,1
30,trnM,30,1
31,trnM,31,1
32,trnM,32,1
33,trnM,33,1
34,trnM,34,1
35,trnM,35,1
36,trnM,36,1
37,trnM,37,1
38,trnM,38,1
39,trnM,39,1
40,trnM,40,1
41,trnM,41,1
42,trnM,42,1
43,trnM,43,1
44,trnM,44,1
45,trnM,45,1
46,trnM,46,1
47,trnM,47,1
48,trnM,48,1
49,trnM,49,1
50,trnM,50,1
51,trnM,51,1
52,trnM,52,1
53,trnM,53,1
54,trnM,54,1
55,trnM,55,1
56,trnM,56,1
57,trnM,57,1
58,trnM,58,1
59,trnM,59,1
60,trnM,60,1
61,trnM,61,1
62,trnM,62,1
63,trnM,63,1
64,trnM,64,1
0,ND2,64,1
1,ND2,65,1
2,ND2,66,1
3,ND2,67,1
4,ND2,68,1
5,ND2,69,1
6,ND2,70,1
7,ND2,71,1
8,ND2,72,1
9,ND2,73,1
10,ND2,74,1
11,ND2,75,1
12,ND2,76,1
13,ND2,77,1
14,ND2,78,1
15,ND2,79,1
16,ND2,80,1
17,ND2,81,1
18,ND2,82,1
19,ND2,83,1
20,ND2,84,1
21,ND2,85,1
22,ND2,86,1
23,ND2,87,1
24,ND2,88,1
25,ND2,89,1
26,ND2,90,1
27,ND2,91,1
28,ND2,92,1
29,ND2,93,1
30,ND2,94,1
31,ND2,95,1
32,ND2,96,1
33,ND2,97,1
34,ND2,98,1
35,ND2,99,1
36,ND2,100,1
37,ND2,101,1
38,ND2,102,1
39,ND2,103,1
40,ND2,104,1
41,ND2,105,1
42,ND2,106,1
43,ND2,107,1
44,ND2,108,1
45,ND2,109,1
46,ND2,110,1
47,ND2,111,1
48,ND2,112,1
49,ND2,113,1
50,ND2,114,1
51,ND2,115,1
52,ND2,116,1
53,ND2,117,1
54,ND2,118,1
55,ND2,119,1
56,ND2,120,1
57,ND2,121,1
58,ND2,122,1
59,ND2,123,1
60,ND2,124,1
61,ND2,125,1
62,ND2,126,1
63,ND2,127,1
64,ND2,128,1
65,ND2,129,1
66,ND2,130,1
67,ND2,131,1
68,ND2,132,1
69,ND2,133,1
70,ND2,134,1
71,ND2,135,1
72,ND2,136,1
73,ND2,137,1
74,ND2,138,1
75,ND2,139,1
76,ND2,140,1
77,ND2,141,1
78,ND2,142,1
79,ND2,143,1
80,ND2,144,1
81,ND2,145,1
82,ND2,146,1
83,ND2,147,1
84,ND2,148,1
85,ND2,149,1
86,ND2,150,1
87,ND2,151,1
88,ND2,152,1
89,ND2,153,1
90,ND2,154,1
91,ND2,155,1
92,ND2,156,1
93,ND2,157,1
94,ND2,158,1
95,ND2,159,1
96,ND2,160,1
97,ND2,161,1
98,ND2,162,1
99,ND2,163,1
100,ND2,164,1
101,ND2,165,1
102,ND2,166,1
103,ND2,167,1
104,ND2,168,1
105,ND2,169,1
106,ND2,170,1
107,ND2,171,1
108,ND2,172,1
109,ND2,173,1
110,ND2,174,1
111,ND2,175,1
112,ND2,176,1
113,ND2,177,1
114,ND2,178,1
115,ND2,179,1
116,ND2,180,1
117,ND2,181,1
118,ND2,182,1
119,ND2,183,1
120,ND2,184,1
